Farms_ID,Farmer_ID,Superficie
1030040479-P002,1030040479,"1,113329051"
1030040508-P002,1030040508,"1,911437538"
1030040515-P002,1030040515,3.2420227989999999
1030040000-P002,1030040501,"1,053016145"
1030040530-P002,1030040530,"0,413490835"
1030040539-P002,1030040539,"0,581026192"
1030040572-P002,1030040572,"0,594512158"
1030040475-P002,1030040475,"1,737223916"
1030040518-P002,1030040518,"1,215959048"
1030040486-P002,1030040486,"0,48477560"
1030040487-P002,1030040487,"0,48477564"
1030040554-P002,1030040554,"0,48477566"
1030040005-P001,1030040522,"1,76802411"
1030040562-P002,1030040562,"1,150609489"
1030040524-P002,1030040524,"0,868199093"
1030040521-P002,1030040521,"0,769658841"
1030040488-P002,1030040488,"0,862995346"
1030040480-P002,1030040480,"0,862995347"
1030311883-P008,1030311883,"2,409232316"
1030311905-P002,1030311905,"1,350014444"
1030311884-P002,1030311884,"1,36687487"
1030121711-P002,1030121711,"0,893084546"
1030122126-P002,1030122126,"1,264392269"
1030311864-P002,1030311864,"0,495952729"
1030020262-P003,1030020262,"1,606239892"
1030311855-P002,1030311855,"1,394734435"
1030022006-P002,1030022006,"0,951349546"
1030051017-P002,1030051017,"0,951349548"
1030040576-Z001,1030043447,"0,236868939"
1030311864-P02,1030102671,"2,855641584"
1030070329-P002,1030070329,"0,842033985"
1030030601-P003,1030030601,"1,20216498"
1030030609-P002,1030030609,"0,889179807"
1030030621-P002,1030030621,"1,263769584"
1030030673-P002,1030030673,"0,679649739"
1030030684-P002,1030030684,"0,228501167"
1030122118-P002,1030122118,"1,028672457"
1030121703-P002,1030121703,"1,090060008"
1030022557-P002,1030022557,"0,775996532"
1030023345-P002,1030023345,"0,916047712"
1030023347-P002,1030023347,"1,031360111"
1030022548-P002,1030022548,"1,492453643"
1030020246-P002,1030020246,"1,303961516"
1030023341-P002,1030023341,"0,880849268"
1030022559-P002,1030022559,"0,880849272"
1030291245-P081,1030291245,"0,880849288"
1030352363-P002,1030352363,"0,880849291"
1030291276-P002,1030291276,"2,507367705"
1030291243-P002,1030291243,"0,206274782"
1030020262-P002,1030020262,"1,962521212"
1030292491-P002,1030292491,"1,996819856"
1030022008-P002,1030022008,"0,703860153"
1030023344-P002,1030023344,"1,325606251"
1030020255-P002,1030020255,"0,461302425"
1030022551-P002,1030022551,"0,461302427"
1030022551-P003,1030022551,"0,461302429"
1030020252-P002,1030020252,"0,461302430"
1030021993-P002,1030021993,"0,461302436"
1030020248-P002,1030020248,"0,461302438"
1030022555-P002,1030022555,"0,564475402"
1030291304-P002,1030291304,"1,587862393"
1030023316-P002,1030023316,"0,377868326"
1030020281-P002,1030020281,"1,436315907"
1030020283-P002,1030020283,"1,240831828"
1030022000-P002,1030022000,"1,535505262"
1030252595-P002,1030252595,"2,566713468"
1030023348-P002,1030023348,"0,66876906"
1030022560-P002,1030022560,"2,017736786"
1030291305-P002,1030291305,"0,437389985"
1030020272-P002,1030020272,"0,401585207"
1030131064-P002,1030131064,"0,911560264"
1030321964-P002,1030321964,"0,340583401"
1030321979-P002,1030321979,"2,234912828"
1030321951-P002,1030321951,"1,407596579"
1030321965-P002,1030321965,"0,472264841"
1030301933-P002,1030301933,"0,787938641"
1030301934-P002,1030301934,"2,083883057"
1030023339-P002,1030023339,"0,765175696"
1030301927-P002,1030301927,"0,1018138"
1030303370-P002,1030303370,"5,027211335"
1030291273-P002,1030291273,"0,973644721"
1030301943-P002,1030301943,"2,285073439"
1030291253-P002,1030291253,"0,750304912"
1030322256-P002,1030322256,"2,991603328"
1030292493-P002,1030292493,"1,281533213"
1030261812-P002,1030261812,"0,943112262"
1030261785-P002,1030261785,"0,416180703"
1030261783-P002,1030261783,"1,0206376"
1030262569-P002,1030262569,"2,465351976"
1030321956-P002,1030321956,"0,636547137"
1030321959-P002,1030321959,"0,182609351"
1030291280-P002,1030291280,"1,99214556"
1030010134-P002,1030010134,"0,878942682"
1030010208-P002,1030010208,"0,878942702"
1030012152-P002,1030012152,"0,878942717"
