code_producteur,n
FT/084-A1902,1
FT/084-A1901,1
FT/084-A1256,1
FT/084-A1253,1
FT/084-A1212,1
FT/084-A1207,1
FT/084-A1197,1
FT/084-A2564,1
FT/084-A1186,1
FT/084-A2731,1
FT/084-A2728,1
FT/084-A2725,1
FT/084-A2202,1
FT/084-A2200,1
FT/084-A2204,1
FT/084-A2569,1
FT/084-A4398,1
FT/084-A2240,1
FT/084-A4396,1
FT/084-A4395,1
FT/084-A4386,1
FT/084-A2248,1
FT/084-A2247,1
FT/084-A2246,1
FT/084-A2667,1
FT/084-A2571,1
FT/084-A2660,1
FT/084-A2659,1
FT/084-A2582,1
FT/084-A2581,1
FT/084-A2579,1
FT/084-A2573,1
FT/084-G2351,1
FT/084-G2353,1
FT/084-G2357,1
FT/084-K5081,1
FT/084-K003,1
FT/084-K5092,1
FT/084-K5089,1
FT/084-K5087,1
FT/084-K5086,1
FT/084-K5082,1
FT/084-K5078,1
FT/084-K010,1
FT/084-G638,1
FT/084-G406,1
FT/084-G2752,1
FT/084-D739,1
FT/084-D724,1
FT/084-D723,1
FT/084-K006,1
FT/084-K011,1
FT/084-D700,1
FT/084-K361,1
FT/084-K369,1
FT/084-K368,1
FT/084-K367,1
FT/084-K366,1
FT/084-K363,1
FT/084-K362,1
FT/084-K358,1
FT/084-K014,1
FT/084-K259,1
FT/084-K026,1
FT/084-K023,1
FT/084-K018,1
FT/084-K016,1
FT/084-K015,1
FT/084-D708,1
FT/084-G5045,1
FT/084-G2358,1
FT/084-G2675,1
FT/084-G2697,1
FT/084-G2690,1
FT/084-G2685,1
FT/084-G2682,1
FT/084-G2679,1
FT/084-G2678,1
FT/084-G2668,1
FT/084-G2702,1
FT/084-G2607,1
FT/084-G2602,1
FT/084-G2593,1
FT/084-G2590,1
FT/084-G2587,1
FT/084-G2584,1
FT/084-G2701,1
FT/084-G4993,1
FT/084-G5044,1
FT/084-G2449,1
FT/084-G5038,1
FT/084-G5034,1
FT/084-G2963,1
FT/084-G2474,1
FT/084-G2462,1
FT/084-G2450,1
FT/084-G2443,1
FT/084-G1291,1
FT/084-G2024,1
FT/084-G2023,1
FT/084-G1319,1
FT/084-G1304,1
FT/084-G1297,1
FT/084-G1296,1
FT/084-T2500,1
FT/084-T2502,1
FT/084-T2503,1
FT/084-A4403,1
FT/084-N1703,1
FT/084-N5474,1
FT/084-B4850,1
FT/084-N5476,1
FT/084-B4827,1
FT/084-G4977,1
FT/084-G4992,1
FT/084-G4991,1
FT/084-G2692,1
FT/084-G4989,1
FT/084-G4978,1
FT/084-G4980,1
FT/084-G4986,1
FT/084-G4990,1
FT/084-S5503,1
FT/084-N5478,1
FT/084-B4856,1
FT/084-B4823,1
FT/084-A1905,1
FT/084-K5095,1
FT/084-K5080,1
FT/084-A4495,1
FT/084-O2795,1
FT/084-B4833,1
FT/084-B4842,1
FT/084-A1191,1
FT/084-B4851,1
FT/084-A2566,1
FT/084-B4855,1
FT/084-O2787,1
FT/084-G5048,1
FT/084-G5051,1
FT/084-A4502,1
FT/084-S5507,1
FT/084-S5495,1
FT/084-S5500,1
FT/084-A4380,1
FT/084-O5492,1
FT/084-O5486,1
FT/084-O5490,1
FT/084-O5493,1
FT/084-O5489,1
FT/084-A4382,1
FT/084-A4373,1
FT/084-N5473,1
FT/084-A2054,1
FT/084-A4414,1
FT/084-A4411,1
FT/084-A4409,1
FT/084-A4394,1
FT/084-A4401,1
FT/084-N5481,1
FT/084-A2578,1
FT/084-S5502,1
FT/084-G4988,1
FT/084-S5499,1
FT/084-S5501,1
FT/084-G4985,1
FT/084-G4982,1
FT/084-G4981,1
FT/084-G4983,1
FT/084-G4994,1
FT/084-S5506,1
FT/084-G4984,1
FT/084-S1271,1
FT/084-S5497,1
FT/084-S5498,1
FT/084-S5496,1
FT/084-S5508,1
FT/084-K5083,1
FT/084-K5076,1
FT/084-K5090,1
FT/084-B4772,1
1030012152,1
1030010177,1
1030010176,1
1030010172,1
1030010132,1
FT/084-B4769,1
FT/084-B4716,1
1030012164,1
FT/084-B4761,1
FT/084-K5125,1
FT/084-K5134,1
FT/084-K1127,1
FT/084-K5117,1
FT/084-K5133,1
1030012157,1
1030012953,1
FT/084-K5140,1
1030021994,1
1030023316,1
1030022553,1
1030022552,1
1030022549,1
1030022548,1
1030022002,1
1030021992,1
1030020237,1
1030020282,1
1030020277,1
1030020273,1
1030020248,1
1030020245,1
1030020241,1
FT/084-K5139,1
FT/084-K5115,1
FT/084-K5094,1
FT/084-K5077,1
FT/084-A4490,1
FT/084-A4498,1
FT/084-A4491,1
FT/084-A4501,1
FT/084-A4486,1
FT/084-A4500,1
FT/084-K5079,1
FT/084-A4493,1
FT/084-K5093,1
FT/084-K5085,1
FT/084-K5097,1
FT/084-K5091,1
FT/084-K5098,1
FT/084-K5096,1
FT/084-A4489,1
FT/084-A4497,1
FT/084-K5118,1
FT/084-K5123,1
FT/084-K5116,1
FT/084-K5126,1
FT/084-K5122,1
FT/084-K1114,1
FT/084-K5132,1
FT/084-K5130,1
FT/084-K5136,1
FT/084-A4492,1
FT/084-K5137,1
FT/084-K5121,1
FT/084-K5127,1
FT/084-K5138,1
FT/084-K5113,1
FT/084-A4494,1
FT/084-A4402,1
FT/084-A4387,1
FT/084-T2511,1
FT/084-A4399,1
FT/084-K5148,1
FT/084-K5143,1
FT/084-T893,1
FT/084-N2817,1
FT/084-N2836,1
FT/084-N5455,1
FT/084-N1577,1
FT/084-N1571,1
FT/084-N2837,1
FT/084-N5448,1
FT/084-N5446,1
FT/084-N2815,1
FT/084-N5447,1
FT/084-N5443,1
FT/084-N5458,1
FT/084-T491,1
FT/084-T5520,1
FT/084-T461,1
FT/084-G4969,1
FT/084-T5558,1
FT/084-T5552,1
FT/084-G4970,1
FT/084-G4968,1
FT/084-G4972,1
FT/084-G4975,1
FT/084-G4971,1
FT/084-T5541,1
FT/084-G4974,1
FT/084-N5394,1
FT/084-N5391,1
FT/084-K5153,1
FT/084-T3042,1
FT/084-T489,1
FT/084-N5456,1
FT/084-N5449,1
FT/084-T1741,1
FT/084-T305,1
FT/084-T847,1
FT/084-T842,1
FT/084-T841,1
FT/084-T483,1
FT/084-T465,1
FT/084-T3053,1
FT/084-T286,1
FT/084-T913,1
FT/084-T2555,1
FT/084-T2551,1
FT/084-T2550,1
FT/084-T2547,1
FT/084-T2518,1
FT/084-T2512,1
FT/084-T908,1
FT/084-T915,1
FT/084-T1468,1
FT/084-T3056,1
FT/084-T1463,1
FT/084-T5556,1
FT/084-T5551,1
FT/084-T3068,1
FT/084-T3062,1
FT/084-T3060,1
FT/084-T3054,1
FT/084-T920,1
FT/084-T3051,1
FT/084-T3050,1
FT/084-T3043,1
FT/084-T3039,1
FT/084-T3037,1
FT/084-T925,1
FT/084-T5559,1
FT/084-T5561,1
FT/084-T5555,1
FT/084-A4383,1
FT/084-A4391,1
FT/084-A4375,1
FT/084-A4374,1
FT/084-A4369,1
FT/084-A4377,1
FT/084-A4381,1
FT/084-N5388,1
FT/084-A4370,1
FT/084-K5151,1
FT/084-K5150,1
FT/084-K5154,1
FT/084-K5155,1
FT/084-K5157,1
FT/084-K005,1
FT/084-A4376,1
FT/084-A4385,1
FT/084-K5106,1
FT/084-A4408,1
FT/084-A4392,1
FT/084-A4388,1
FT/084-A4397,1
FT/084-A4400,1
FT/084-A4390,1
FT/084-A4404,1
FT/084-A4405,1
FT/084-A4379,1
FT/084-A4406,1
FT/084-A4378,1
FT/084-A4371,1
FT/084-A4407,1
FT/084-A4393,1
FT/084-A4384,1
FT/084-K5102,1
FT/084-K5110,1
FT/084-T5547,1
FT/084-G5042,1
FT/084-T5557,1
FT/084-T5553,1
FT/084-T5550,1
FT/084-T5548,1
FT/084-T5546,1
FT/084-T5554,1
FT/084-G5039,1
FT/084-T5560,1
FT/084-G5025,1
FT/084-G1944,1
FT/084-G5017,1
FT/084-G2019,1
FT/084-G5052,1
FT/084-T5549,1
FT/084-T1446,1
FT/084-K5159,1
FT/084-K012,1
FT/084-G5028,1
FT/084-G5029,1
FT/084-G5033,1
FT/084-G5043,1
FT/084-G5049,1
FT/084-G5020,1
FT/084-G5041,1
FT/084-G5032,1
FT/084-K5158,1
FT/084-G5035,1
FT/084-G5027,1
FT/084-G5031,1
FT/084-G5030,1
FT/084-K5152,1
FT/084-K5149,1
10304604517,1
