numero_ordre,cooperative,code_plantation,code_producteur,autres_codes,superficie_cacao_ha,rendement_kg_ha,estimation_kg,variete_cacao,gerant,nom_gerant,latitude,longitude,donnees_polygonales
3060,A,10304403715-P001,10304403715,,16.1,662.7329192546583,10670,Tout Venant,Non,,6.040517,-4.580973,
3061,A,10304403716-P001,10304403716,,4.8,677.0833333333334,3250,Tout Venant,Non,,6.031768,-4.567576,
3062,A,10304403717-P001,10304403717,,7.1,654.9295774647887,4650,Tout Venant,Non,,6.078712,-4.544192,
3063,A,10304403718-P001,10304403718,,2.1,720.0,1512,Tout Venant,Non,,6.061029,-4.561301,
3064,A,10304403719-P001,10304403719,,1.54,701.2987012987013,1080,Tout Venant,Non,,6.062812,-4.574857,
3065,A,10304403720-P001,10304403720,,8.7,614.9425287356322,5350,Tout Venant,Non,,6.06243,-4.578565,
3066,A,10304403721-P001,10304403721,,4.0,702.0,2808,Tout Venant,Non,,6.044967,-4.564468,
3067,A,10304403722-P001,10304403722,,1.8,720.0,1296,Tout Venant,Non,,6.085932,-4.56653,
3068,A,10304403723-P001,10304403723,,4.3,653.0232558139535,2808,Tout Venant,Non,,6.089774,-4.552308,
3069,A,10304403724-P001,10304403724,,11.6,633.6206896551724,7350,Tout Venant,Non,,6.061199,-4.573442,
3070,A,10304403725-P001,10304403725,,1.6,720.0,1152,Tout Venant,Non,,6.086197,-4.604712,
3071,A,10304403726-P001,10304403726,,2.36,719.9152542372882,1699,Tout Venant,Non,,6.098048,-4.603465,
3072,A,10304403727-P001,10304403727,,2.67,719.8501872659176,1922,Tout Venant,Non,,6.0985,-4.604763,
3073,A,10304403728-P001,10304403728,,2.5,720.0,1800,Tout Venant,Non,,6.103258,-4.59822,
3074,A,10304403729-P001,10304403729,,2.1,720.0,1512,Tout Venant,Non,,6.103998,-4.595223,
3075,A,10304403730-P001,10304403730,,3.8,720.0,2736,Tout Venant,Non,,6.106804,-4.598375,
3076,A,10304403731-P001,10304403731,,1.2,720.0,864,Tout Venant,Non,,6.100834,-4.613781,
3077,A,10304403734-P001,10304403734,,2.0,720.0,1440,Tout Venant,Non,,6.10875,-4.598661,
3078,A,10304403735-P001,10304403735,,1.3,720.0,936,Tout Venant,Non,,6.098692,-4.618577,
3079,A,10304403736-P001,10304403736,,3.1,720.0,2232,Tout Venant,Non,,6.096939,-4.606039,
3080,A,10304403737-P001,10304403737,,1.6,720.0,1152,Tout Venant,Non,,6.107791,-4.596923,
3081,A,10304403738-P001,10304403738,,2.3,720.0,1656,Tout Venant,Non,,6.108317,-4.600324,
3082,A,10304403739-P001,10304403739,,2.3,720.0,1656,Tout Venant,Non,,6.106765,-4.600744,
3083,A,10304403740-P001,10304403740,,3.45,720.0,2484,Tout Venant,Non,,6.081364,-4.530803,
3084,A,10304403742-P001,10304403742,,7.5,688.0,5160,Tout Venant,Non,,6.108827,-4.616053,
3085,A,10304403743-P001,10304403743,,2.53,719.7628458498024,1821,Tout Venant,Non,,6.112142,-4.597779,
3086,A,10304403744-P001,10304403744,,0.9,720.0,648,Tout Venant,Non,,6.108896,-4.601338,
3087,A,10304403745-P001,10304403745,,2.0,720.0,1440,Tout Venant,Non,,6.030565,-4.562499,
3088,A,10304403746-P001,10304403746,,2.29,719.650655021834,1648,Tout Venant,Non,,6.079961,-4.533859,
3089,A,10304403748-P001,10304403748,,4.0,702.0,2808,Tout Venant,Non,,6.028695,-4.560414,
3090,A,10304403749-P001,10304403749,,5.5,627.2727272727273,3450,Tout Venant,Non,,6.096736,-4.559338,
3091,A,10304403750-P001,10304403750,,3.0,720.0,2160,Tout Venant,Non,,6.072934,-4.525579,
3092,A,10304403751-P001,10304403751,,0.9,720.0,648,Tout Venant,Non,,6.071521,-4.523519,
3093,A,10304403752-P001,10304403752,,7.1,628.1690140845071,4460,Tout Venant,Non,,6.105521,-4.570126,
3094,A,10304403754-P001,10304403754,,2.0,720.0,1440,Tout Venant,Non,,6.068987,-4.631169,
3095,A,10304403755-P001,10304403755,,2.3,720.0,1656,Tout Venant,Non,,6.041016,-4.618483,
3096,A,10304403757-P001,10304403757,,3.49,719.7707736389684,2512,Tout Venant,Non,,6.076494,-4.643637,
