identifiant,type_anomalie,colonne_concernee,valeur
FT/084-A2200-P001,Plantation sans producteur associé,code_producteur,FT/084-A2200
FT/084-A2728-P001,Plantation sans producteur associé,code_producteur,FT/084-A2728
FT/084-A1186-P001,Plantation sans producteur associé,code_producteur,FT/084-A1186
FT/084-A1197-P001,Plantation sans producteur associé,code_producteur,FT/084-A1197
FT/084-A1212-P001,Plantation sans producteur associé,code_producteur,FT/084-A1212
FT/084-A1256-P001,Plantation sans producteur associé,code_producteur,FT/084-A1256
FT/084-A1902-P001,Plantation sans producteur associé,code_producteur,FT/084-A1902
FT/084-A2569-P001,Plantation sans producteur associé,code_producteur,FT/084-A2569
FT/084-A2573-P001,Plantation sans producteur associé,code_producteur,FT/084-A2573
FT/084-A2579-P001,Plantation sans producteur associé,code_producteur,FT/084-A2579
FT/084-G1297-P001,Plantation sans producteur associé,code_producteur,FT/084-G1297
FT/084-G2443-P001,Plantation sans producteur associé,code_producteur,FT/084-G2443
FT/084-G2449-P001,Plantation sans producteur associé,code_producteur,FT/084-G2449
FT/084-T2475-P001,Plantation sans producteur associé,code_producteur,FT/084-T2475
FT/084-T2551-P001,Plantation sans producteur associé,code_producteur,FT/084-T2551
FT/084-T3037-P001,Plantation sans producteur associé,code_producteur,FT/084-T3037
FT/084-T893-P001,Plantation sans producteur associé,code_producteur,FT/084-T893
FT/084-G5052-P001,Plantation sans producteur associé,code_producteur,FT/084-G5052
FT/084-G2019-P001,Plantation sans producteur associé,code_producteur,FT/084-G2019
FT/084-G1944-P001,Plantation sans producteur associé,code_producteur,FT/084-G1944
FT/084-A2578-P001,Plantation sans producteur associé,code_producteur,FT/084-A2578
FT/084-A1191-P001,Plantation sans producteur associé,code_producteur,FT/084-A1191
1030010229,Écart estimation > 10 %,estimation_totale_kg,-11.432571161922539
1030012152,Écart estimation > 10 %,estimation_totale_kg,-39.12718204488778
1030012157,Écart estimation > 10 %,estimation_totale_kg,-17.99053129931615
1030012198,Écart estimation > 10 %,estimation_totale_kg,-11.720930232558139
1030012868,Écart estimation > 10 %,estimation_totale_kg,114.30948419301166
1030012887,Écart estimation > 10 %,estimation_totale_kg,48.34156669019055
1030012889,Écart estimation > 10 %,estimation_totale_kg,93.71428571428572
1030012942,Écart estimation > 10 %,estimation_totale_kg,11.513157894736842
1030012946,Écart estimation > 10 %,estimation_totale_kg,17.760617760617762
1030020231,Écart estimation > 10 %,estimation_totale_kg,77.4869109947644
1030020233,Écart estimation > 10 %,estimation_totale_kg,18.096514745308312
1030020234,Écart estimation > 10 %,estimation_totale_kg,-34.91083676268861
1030020236,Écart estimation > 10 %,estimation_totale_kg,-58.39185393258427
1030020239,Écart estimation > 10 %,estimation_totale_kg,-11.865828092243188
1030020241,Écart estimation > 10 %,estimation_totale_kg,-44.39890710382514
1030020243,Écart estimation > 10 %,estimation_totale_kg,-25.584725536992842
1030020245,Écart estimation > 10 %,estimation_totale_kg,-14.756446991404012
1030020246,Écart estimation > 10 %,estimation_totale_kg,-49.94021522518931
1030020250,Écart estimation > 10 %,estimation_totale_kg,-18.264014466546115
1030020251,Écart estimation > 10 %,estimation_totale_kg,-10.714285714285714
1030020252,Écart estimation > 10 %,estimation_totale_kg,-13.520408163265307
1030020253,Écart estimation > 10 %,estimation_totale_kg,214.47124304267163
1030020257,Écart estimation > 10 %,estimation_totale_kg,40.3448275862069
1030020259,Écart estimation > 10 %,estimation_totale_kg,17.37786023500309
1030020261,Écart estimation > 10 %,estimation_totale_kg,17.971014492753625
1030020262,Écart estimation > 10 %,estimation_totale_kg,-19.05430711610487
1030020266,Écart estimation > 10 %,estimation_totale_kg,90.53069719042664
1030020269,Écart estimation > 10 %,estimation_totale_kg,22.613065326633166
1030020270,Écart estimation > 10 %,estimation_totale_kg,454.4392523364486
1030020271,Écart estimation > 10 %,estimation_totale_kg,85.85526315789474
1030020272,Écart estimation > 10 %,estimation_totale_kg,15.921052631578947
1030020274,Écart estimation > 10 %,estimation_totale_kg,49.17763157894737
1030020276,Écart estimation > 10 %,estimation_totale_kg,56.94444444444444
1030020280,Écart estimation > 10 %,estimation_totale_kg,-46.44736842105263
1030020281,Écart estimation > 10 %,estimation_totale_kg,-14.46592065106816
1030020282,Écart estimation > 10 %,estimation_totale_kg,-41.981468282252315
1030021992,Écart estimation > 10 %,estimation_totale_kg,18.096514745308312
1030021997,Écart estimation > 10 %,estimation_totale_kg,103.82513661202186
1030021998,Écart estimation > 10 %,estimation_totale_kg,26.43086816720257
1030022002,Écart estimation > 10 %,estimation_totale_kg,-10.865051903114187
1030022003,Écart estimation > 10 %,estimation_totale_kg,-17.803030303030305
1030022004,Écart estimation > 10 %,estimation_totale_kg,-20.337738619676944
1030022006,Écart estimation > 10 %,estimation_totale_kg,-31.761006289308174
1030022008,Écart estimation > 10 %,estimation_totale_kg,-25.81047381546135
1030022547,Écart estimation > 10 %,estimation_totale_kg,-12.095032397408207
1030022549,Écart estimation > 10 %,estimation_totale_kg,-30.34547152194211
1030022553,Écart estimation > 10 %,estimation_totale_kg,26.607717041800644
1030022554,Écart estimation > 10 %,estimation_totale_kg,35.28678304239401
1030022558,Écart estimation > 10 %,estimation_totale_kg,-18.103448275862068
1030022559,Écart estimation > 10 %,estimation_totale_kg,19.434063000533904
1030022560,Écart estimation > 10 %,estimation_totale_kg,-45.30259365994237
1030022561,Écart estimation > 10 %,estimation_totale_kg,34.213197969543145
1030023306,Écart estimation > 10 %,estimation_totale_kg,11.119030648610122
1030023308,Écart estimation > 10 %,estimation_totale_kg,17.59729272419628
1030023309,Écart estimation > 10 %,estimation_totale_kg,14.14141414141414
1030023310,Écart estimation > 10 %,estimation_totale_kg,-40.77669902912621
1030023311,Écart estimation > 10 %,estimation_totale_kg,-48.558421851289836
1030023312,Écart estimation > 10 %,estimation_totale_kg,-43.35971855760774
1030023314,Écart estimation > 10 %,estimation_totale_kg,-34.30232558139535
1030023316,Écart estimation > 10 %,estimation_totale_kg,42.01570680628272
1030023319,Écart estimation > 10 %,estimation_totale_kg,112.80193236714975
1030023321,Écart estimation > 10 %,estimation_totale_kg,28.620689655172416
1030023322,Écart estimation > 10 %,estimation_totale_kg,-13.959390862944163
1030023326,Écart estimation > 10 %,estimation_totale_kg,-38.698010849909586
1030023328,Écart estimation > 10 %,estimation_totale_kg,-23.327049952874646
1030023339,Écart estimation > 10 %,estimation_totale_kg,-21.49059334298119
1030023341,Écart estimation > 10 %,estimation_totale_kg,-10.790513833992096
1030023343,Écart estimation > 10 %,estimation_totale_kg,-13.095238095238097
1030023344,Écart estimation > 10 %,estimation_totale_kg,-29.520795660036164
1030023345,Écart estimation > 10 %,estimation_totale_kg,-10.066305003013863
1030023346,Écart estimation > 10 %,estimation_totale_kg,-33.39285714285714
1030023347,Écart estimation > 10 %,estimation_totale_kg,142.90249433106575
1030023348,Écart estimation > 10 %,estimation_totale_kg,51.7910447761194
1030023349,Écart estimation > 10 %,estimation_totale_kg,-64.20497362471741
1030030592,Écart estimation > 10 %,estimation_totale_kg,20.236336779911372
1030030594,Écart estimation > 10 %,estimation_totale_kg,-17.456021650879567
1030030597,Écart estimation > 10 %,estimation_totale_kg,-36.51063829787234
1030030599,Écart estimation > 10 %,estimation_totale_kg,-10.74561403508772
1030030619,Écart estimation > 10 %,estimation_totale_kg,-21.260119676170362
1030030620,Écart estimation > 10 %,estimation_totale_kg,13.195548489666137
1030030621,Écart estimation > 10 %,estimation_totale_kg,-27.634194831013914
1030030622,Écart estimation > 10 %,estimation_totale_kg,79.79591836734694
