,pourcentage_na
volume_livre_coop_23_24_kg,100.0
date_adhesion,100.0
recolte_23_24_kg,100.0
taille_menage,100.0
autres_codes,100.0
numero_matricule,100.0
nb_plantations_cacao,11.28
genre,0.0
superficie_totale_exploitation_ha,0.0
superficie_totale_cacao_ha,0.0
cooperative,0.0
estimation_totale_kg,0.0
ville,0.0
nom_coach,0.0
annee_naissance,0.0
type_matricule,0.0
code_producteur,0.0
recolte_24_25_kg,0.0
volume_livre_coop_24_25_kg,0.0
codes_certification,0.0
numero_ordre,0.0
