code_plantation,code_producteur,cooperative,superficie_cacao_ha,surface_calculee_ha,ecart_surface_pct,anomalie_surface
1030010003-P001,1030010003,A,3.1,2.129448779869336,-31.30810387518272,True
1030010008-P001,1030010008,A,0.47,0.8684235220188397,84.77096213166803,True
1030010009-P001,1030010009,A,2.7,3.2674231762392685,21.015673194046972,True
1030010011-P001,1030010011,A,12.59,8.517499692165165,-32.34710331878344,True
1030010012-P001,1030010012,A,5.66,2.509366974397105,-55.66489444528083,True
1030010014-P001,1030010014,A,0.83,0.718910496245106,-13.384277560830604,True
1030010015-P001,1030010015,A,2.37,1.4655285889427072,-38.16335067752291,True
1030010018-P001,1030010018,A,1.87,0.9095415435414715,-51.36141478387854,True
1030010022-P001,1030010022,A,0.86,0.7304153182736582,-15.06798624724904,True
1030010026-P001,1030010026,A,1.38,0.8822219813067904,-36.07087091979779,True
1030010028-P001,1030010028,A,7.26,3.1231030249580756,-56.98205199782266,True
1030010030-P001,1030010030,A,5.9,3.7054097107360415,-37.19644558074506,True
1030010046-P001,1030010046,A,1.4,0.6630169887290581,-52.641643662210136,True
1030010048-P001,1030010048,A,1.4,1.1674111859898262,-16.61348671501241,True
1030010049-P001,1030010049,A,1.6,1.9433419436639687,21.45887147899804,True
1030010050-P001,1030010050,A,3.0,3.91704196116573,30.568065372190993,True
1030010054-P001,1030010054,A,6.2,1.941926502916063,-68.6786047916764,True
1030010069-P001,1030010069,A,1.0,1.213580650996855,21.358065099685497,True
1030010075-P001,1030010075,A,1.2,0.6734633889710226,-43.878050919081446,True
1030010079-P001,1030010079,A,1.44,1.7698316586777731,22.904976297067584,True
1030010088-P001,1030010088,A,2.7,0.8296331242457947,-69.27284725015575,True
1030010096-P001,1030010096,A,1.5,1.1582898279697056,-22.78067813535296,True
1030010100-P001,1030010100,A,2.2,2.590660419726236,17.757291805738,True
1030010101-P001,1030010101,A,2.2,2.6489622419851355,20.40737463568797,True
1030010102-P001,1030010102,A,1.8,0.869381971182977,-51.70100160094573,True
1030010106-P001,1030010106,A,2.6,1.241317296834192,-52.25702704483878,True
1030010111-P001,1030010111,A,1.6,1.0722870272037002,-32.98206079976874,True
1030010114-P001,1030010114,A,1.7,2.0204265928669165,18.84862310981862,True
1030010119-P001,1030010119,A,1.8,2.0285639213464957,12.697995630360866,True
1030010121-P001,1030010121,A,0.4,0.6275076066624613,56.87690166561532,True
1030010122-P001,1030010122,A,4.3,5.312008862116519,23.53508981666324,True
1030010125-P001,1030010125,A,1.1,0.8333259987110234,-24.243091026270605,True
1030010126-P001,1030010126,A,1.6,3.3772360147909253,111.07725092443282,True
1030010127-P001,1030010127,A,1.2,0.917891090104006,-23.50907582466616,True
1030010130-P001,1030010130,A,0.8,1.3710225793453668,71.37782241817084,True
1030010134-P001,1030010134,A,2.5,0.6777711385393334,-72.88915445842667,True
